"candidate_id","rank","score","reasoning"
"CAND_0094685","1","0.9900","Strong match — AI Research Engineer at Krutrim (3.5y exp) | AI Research Engineer at Krutrim (26mo) | Skills: Weaviate/Python; GitHub 53/100; resp rate 68%"
"CAND_0015065","2","0.9230","Strong match — AI Research Engineer at Flipkart (3.9y exp) | AI Research Engineer at Flipkart (36mo) | Skills: Information Retrieval; GitHub 49/100; resp rate 84% | Concerns: notice 90d"
"CAND_0013671","3","0.6412","Strong match — DevOps Engineer at Flipkart (4.5y exp) | DevOps Engineer at Flipkart (54mo) | Skills: Pinecone/Elasticsearch (intermediate); GitHub 34/100; resp rate 82% | Concerns: notice 90d"
"CAND_0022768","4","0.5811","Strong match — Software Engineer at Nykaa (2.5y exp) | Software Engineer at Nykaa (30mo) | Skills: Milvus (intermediate); GitHub 56/100; resp rate 29%"
"CAND_0026129","5","0.5478","Strong match — Software Engineer at Dunder Mifflin (2.0y exp) | Software Engineer at Dunder Mifflin (24mo) | Skills: no direct T1 skills; GitHub 38/100; resp rate 52% | Concerns: notice 90d"
"CAND_0033115","6","0.5267","Strong match — Frontend Engineer at Initech (2.9y exp) | Frontend Engineer at Initech (34mo) | Skills: Milvus; resp rate 64%"
"CAND_0021827","7","0.5231","Strong match — AI Research Engineer at Unacademy (4.4y exp) | AI Research Engineer at Unacademy (15mo) | Skills: Embeddings/Weaviate; GitHub 85/100; resp rate 36% | Concerns: notice 90d"
"CAND_0094174","8","0.5093","Strong match — Graphic Designer at Pied Piper (4.5y exp) | Graphic Designer at Pied Piper (54mo) | Skills: no direct T1 skills; GitHub 1/100; resp rate 7% | Concerns: resp rate 7%"
"CAND_0039998","9","0.4788","Strong match — DevOps Engineer at CRED (1.9y exp) | DevOps Engineer at CRED (22mo) | Skills: Pinecone (intermediate); GitHub 57/100; resp rate 51% | Concerns: notice 90d"
"CAND_0081846","10","0.4751","Strong match — Lead AI Engineer at Razorpay (6.7y exp) | Lead AI Engineer at Razorpay (27mo) | Skills: Information Retrieval/Elasticsearch/Vector Search; GitHub 34/100; resp rate 73%"
"CAND_0018499","11","0.4641","Good fit — Senior Machine Learning Engineer at Zomato (7.2y exp) | Senior Machine Learning Engineer at Zomato (26mo) | Skills: Weaviate/Recommendation Systems/Pinecone; GitHub 95/100; resp rate 61%"
"CAND_0098104","12","0.4526","Good fit — Java Developer at Dunder Mifflin (1.9y exp) | Java Developer at Dunder Mifflin (22mo) | Skills: Sentence Transformers (intermediate); resp rate 67%"
"CAND_0042726","13","0.4389","Good fit — Business Analyst at Pied Piper (2.2y exp) | Business Analyst at Pied Piper (26mo) | Skills: no direct T1 skills; resp rate 29%"
"CAND_0001576","14","0.4371","Good fit — DevOps Engineer at Dunder Mifflin (2.0y exp) | DevOps Engineer at Dunder Mifflin (24mo) | Skills: Elasticsearch; resp rate 44% | Concerns: notice 90d"
"CAND_0030982","15","0.4276","Good fit — Civil Engineer at Dunder Mifflin (4.0y exp) | Civil Engineer at Dunder Mifflin (48mo) | Skills: no direct T1 skills; resp rate 62%"
"CAND_0033151","16","0.4258","Good fit — Frontend Engineer at Flipkart (2.8y exp) | Frontend Engineer at Flipkart (33mo) | Skills: no direct T1 skills; resp rate 63% | Concerns: notice 90d"
"CAND_0071974","17","0.4105","Good fit — Senior AI Engineer at Netflix (7.8y exp) | Senior AI Engineer at Netflix (50mo) | Skills: Weaviate/Pinecone/Information Retrieval; GitHub 83/100; resp rate 76%"
"CAND_0076527","18","0.4096","Good fit — Software Engineer at Hooli (2.4y exp) | Software Engineer at Hooli (28mo) | Skills: no direct T1 skills; GitHub 61/100; resp rate 28% | Concerns: notice 90d"
"CAND_0037915","19","0.4078","Good fit — Civil Engineer at Dunder Mifflin (4.0y exp) | Civil Engineer at Dunder Mifflin (48mo) | Skills: no direct T1 skills; resp rate 57%"
"CAND_0044532","20","0.4012","Good fit — HR Manager at Dunder Mifflin (2.8y exp) | HR Manager at Dunder Mifflin (33mo) | Skills: no direct T1 skills; GitHub 22/100; resp rate 71%"
"CAND_0028963","21","0.3938","Good fit — Business Analyst at Pied Piper (4.0y exp) | Business Analyst at Pied Piper (48mo) | Skills: no direct T1 skills; GitHub 16/100; resp rate 68%"
"CAND_0056908","22","0.3833","Good fit — Mechanical Engineer at Pied Piper (4.4y exp) | Mechanical Engineer at Pied Piper (52mo) | Skills: no direct T1 skills; GitHub 17/100; resp rate 24% | Concerns: resp rate 24%"
"CAND_0074937","23","0.3574","Good fit — DevOps Engineer at Flipkart (3.2y exp) | DevOps Engineer at Flipkart (38mo) | Skills: Sentence Transformers; resp rate 52%"
"CAND_0037229","24","0.3570","Good fit — Java Developer at Initech (3.4y exp) | Java Developer at Initech (40mo) | Skills: Sentence Transformers; GitHub 11/100; resp rate 33% | Concerns: notice 90d"
"CAND_0015565","25","0.3541","Good fit — HR Manager at Pied Piper (2.8y exp) | HR Manager at Pied Piper (33mo) | Skills: no direct T1 skills; resp rate 57%"
"CAND_0065164","26","0.3515","Good fit — Graphic Designer at Hooli (2.7y exp) | Graphic Designer at Hooli (32mo) | Skills: no direct T1 skills; GitHub 7/100; resp rate 32%"
"CAND_0076480","27","0.3486","Good fit — Business Analyst at Dunder Mifflin (2.1y exp) | Business Analyst at Dunder Mifflin (25mo) | Skills: no direct T1 skills; resp rate 70%"
"CAND_0054889","28","0.3459","Good fit — HR Manager at Dunder Mifflin (2.9y exp) | HR Manager at Dunder Mifflin (34mo) | Skills: no direct T1 skills; resp rate 66%"
"CAND_0031560","29","0.3381","Good fit — Business Analyst at Dunder Mifflin (1.9y exp) | Business Analyst at Dunder Mifflin (22mo) | Skills: no direct T1 skills; GitHub 31/100; resp rate 74%"
